service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
701_8__151___,0,0,0,0,0,0,1,20241027,20251124
702_8__151___,0,0,0,0,0,0,1,20241027,20251124
703_8__151___,0,0,0,0,0,0,1,20241027,20251124
704_8__151___,0,0,0,0,0,0,1,20241027,20251124
750_8__151___,0,0,0,0,0,0,1,20241027,20251124
764_8__151___,0,0,0,0,0,0,1,20241027,20251124
765_8__151___,0,0,0,0,0,0,1,20241027,20251124
779_8__151___,0,0,0,0,0,0,1,20241027,20251124
201_8__151___,1,1,1,1,1,0,0,20241028,20251127
202_8__151___,1,1,1,1,1,0,0,20241028,20251127
203_8__151___,1,1,1,1,1,0,0,20241028,20251127
219_8__151___,1,1,1,1,1,0,0,20241028,20251127
220_8__151___,1,1,1,1,1,0,0,20241028,20251127
305_8__151___,1,1,1,1,1,0,0,20241028,20251127
311_8__151___,1,1,1,1,1,0,0,20241028,20251127
313_8__151___,1,1,1,1,1,0,0,20241028,20251127
317_8__151___,1,1,1,1,1,0,0,20241028,20251127
401_8__151___,1,1,1,1,1,0,0,20241028,20251127
402_8__151___,1,1,1,1,1,0,0,20241028,20251127
403_8__151___,1,1,1,1,1,0,0,20241028,20251127
435_8__151___,1,1,1,1,1,0,0,20241028,20251127
438_8__151___,1,1,1,1,1,0,0,20241028,20251127
474_8__151___,1,1,1,1,0,0,0,20241028,20251127
475_8__151___,1,1,1,1,0,0,0,20241028,20251127
851_8__151___,1,1,1,1,0,0,0,20241028,20251127
9999_8__151___,0,0,0,0,1,1,0,20241031,20251122
601_8__151___,0,0,0,0,0,1,0,20241102,20251123
602_8__151___,0,0,0,0,0,1,0,20241102,20251123
603_8__151___,0,0,0,0,0,1,0,20241102,20251123
604_8__151___,0,0,0,0,0,1,0,20241102,20251123
641_8__151___,0,0,0,0,0,1,0,20241102,20251123
664_8__151___,0,0,0,0,0,1,0,20241102,20251123
677_8__151___,0,0,0,0,0,1,0,20241102,20251123
678_8__151___,0,0,0,0,0,1,0,20241102,20251123
733_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
734_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
737_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
739_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
740_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
741_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
742_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
763_8__152_C__,0,0,0,0,0,0,1,20241027,20251124
203_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
210_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
212_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
220_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
222_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
223_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
232_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
238_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
268_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
270_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
301_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
308_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
314_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
316_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
317_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
318_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
322_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
410_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
412_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
419_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
420_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
421_8__152_C__,1,1,1,1,1,0,0,20241028,20251127
