service_id,date,exception_type
201_8__151___,20241031,2
201_8__151___,20241101,2
201_8__151___,20241108,2
202_8__151___,20241031,2
202_8__151___,20241101,2
202_8__151___,20241108,2
203_8__151___,20241031,2
203_8__151___,20241101,2
203_8__151___,20241108,2
219_8__151___,20241031,2
219_8__151___,20241101,2
219_8__151___,20241108,2
220_8__151___,20241031,2
220_8__151___,20241101,2
220_8__151___,20241108,2
305_8__151___,20241031,2
305_8__151___,20241101,2
305_8__151___,20241108,2
311_8__151___,20241031,2
311_8__151___,20241101,2
311_8__151___,20241108,2
313_8__151___,20241031,2
313_8__151___,20241101,2
313_8__151___,20241108,2
317_8__151___,20241031,2
317_8__151___,20241101,2
317_8__151___,20241108,2
401_8__151___,20241031,2
401_8__151___,20241101,2
401_8__151___,20241108,2
402_8__151___,20241031,2
402_8__151___,20241101,2
402_8__151___,20241108,2
403_8__151___,20241031,2
403_8__151___,20241101,2
403_8__151___,20241108,2
435_8__151___,20241031,2
435_8__151___,20241101,2
435_8__151___,20241108,2
438_8__151___,20241031,2
438_8__151___,20241101,2
438_8__151___,20241108,2
474_8__151___,20241031,2
475_8__151___,20241031,2
851_8__151___,20241031,2
9999_8__151___,20241102,2
9999_8__151___,20241116,2
601_8__151___,20241109,2
602_8__151___,20241109,2
603_8__151___,20241109,2
604_8__151___,20241109,2
641_8__151___,20241109,2
664_8__151___,20241109,2
677_8__151___,20241109,2
678_8__151___,20241109,2
203_8__152_C__,20241031,2
203_8__152_C__,20241101,2
203_8__152_C__,20241108,2
210_8__152_C__,20241031,2
210_8__152_C__,20241101,2
210_8__152_C__,20241108,2
212_8__152_C__,20241031,2
212_8__152_C__,20241101,2
212_8__152_C__,20241108,2
220_8__152_C__,20241031,2
220_8__152_C__,20241101,2
220_8__152_C__,20241108,2
222_8__152_C__,20241031,2
222_8__152_C__,20241101,2
222_8__152_C__,20241108,2
223_8__152_C__,20241031,2
223_8__152_C__,20241101,2
223_8__152_C__,20241108,2
232_8__152_C__,20241031,2
232_8__152_C__,20241101,2
232_8__152_C__,20241108,2
238_8__152_C__,20241031,2
238_8__152_C__,20241101,2
238_8__152_C__,20241108,2
268_8__152_C__,20241031,2
268_8__152_C__,20241101,2
268_8__152_C__,20241108,2
270_8__152_C__,20241031,2
270_8__152_C__,20241101,2
270_8__152_C__,20241108,2
301_8__152_C__,20241031,2
301_8__152_C__,20241101,2
301_8__152_C__,20241108,2
308_8__152_C__,20241031,2
308_8__152_C__,20241101,2
308_8__152_C__,20241108,2
314_8__152_C__,20241031,2
314_8__152_C__,20241101,2
314_8__152_C__,20241108,2
316_8__152_C__,20241031,2
316_8__152_C__,20241101,2
