route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__151___,701_8__151___,701_8__151___-8__151____3_05:55:00_2_-__1_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_05:55:00_2_-__1_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_06:20:00_1_-__1_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_06:20:00_1_-__1_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_06:35:00_2_-__2_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_06:35:00_2_-__2_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_07:10:00_1_-__2_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_07:10:00_1_-__2_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_07:35:00_2_-__3_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_07:35:00_2_-__3_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_08:10:00_1_-__3_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_08:10:00_1_-__3_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_08:35:00_2_-__4_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_08:35:00_2_-__4_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_09:10:00_1_-__4_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_09:10:00_1_-__4_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_09:35:00_2_-__5_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_09:35:00_2_-__5_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_10:10:00_1_-__5_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_10:10:00_1_-__5_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_10:35:00_2_-__6_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_10:35:00_2_-__6_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_11:10:00_1_-__6_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_11:10:00_1_-__6_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_11:35:00_2_-__8_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_11:35:00_2_-__8_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_12:10:00_1_-__8_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_12:10:00_1_-__8_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_12:35:00_2_-__10_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_12:35:00_2_-__10_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,701_8__151___,701_8__151___-8__151____3_13:10:00_1_-__10_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_13:10:00_1_-__10_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
8__151___,702_8__151___,702_8__151___-8__151____3_13:35:00_2_-__12_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,9999_8__151___,9999_8__151___-8__151____3_13:35:00_2_-__12_8__151___,INTERCAMBIADOR DE PLAZA CASTILLA,151 MADRID (Pza. Castilla),1,,8__151____2_-_IT_1,0
8__151___,702_8__151___,702_8__151___-8__151____3_14:10:00_1_-__12_8__151___,AV.ESPAÑA-EST.ALCOBENDAS-S.S.REYES,151 ALCOBENDAS,0,,8__151____1_-_IT_1,0
